Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,Marital Status,Children,Housing,Other Pets,NumPets,Gender,Specie,Chip,Sex,Race,Age,State,AnimalShelter
PublicationAdoption,Michael,India,Teruel,Puente-Genil,34922,3017,1071,1797,149,869,11,Sociólogo,Sociología y antropología,married,12,terraced house,hamster,3,nobinary,dog,unknown,castrated_male,Hovawart,0,other,animalshelter
AnimalAdoption,Beverly,Ecuador,Santa Cruz de Tenerife,Llívia,98866,4936,1554,1718,1664,1754,20,Periodista,Sociología y antropología,married,11,detached house,snake,11,other,hamster,unknown,unknow,Roborowski,4,unknown,animalshelter
AnimalAdoption,Brenda,Reino Unido,Castellón,Palencia,59657,1878,1096,480,302,603,54,Geógrafo,"Finanzas, banca y seguros",separated,11,attic,snake,5,nobinary,snake,yes,intact_male,Anaconda,0,dead,animalshelter
Animal,Richard,Paraguay,Madrid,Vilanova i la Geltrú,75924,2892,1202,766,924,1439,84,Paleontólogo,Magisterio,relationship,13,triplex,turtles,18,,hamster,unknown,neutered_female,Sirio,16,sick,animalshelter
Animal,Dillon,Malta,Tarragona,Chiclana de la Frontera,68649,2213,368,1112,733,998,4,Bibliotecólogo,Administración y gestión de empresas,divorced,6,duplex,bunny,18,nobinary,cat,yes,castrated_male,Manx,14,vet,animalshelter
Animal,Rudolph,Guinea Ecuatorial,Tarragona,Almendralejo,42671,959,865,94,0,750,3,Botánico,Administración y gestión de empresas,,15,ground floor,several,6,male,other,no,castrated_male,Pedresa,2,sick,animalshelter
PublicationAdoption,Richard,Uruguay,Navarra,Castile–La Mancha,82118,2660,1186,538,936,1732,2,Sociólogo,Ingeniería Informatica,relationship,0,semi-detached house,other,9,other,hamster,no,neutered_female,Chino,6,healthy,animalshelter
AnimalAdoption,Adam,Bolivia,Fuerteventura,Salamanca,67634,2444,419,39,1986,1812,65,Arquitecto,Mercadotecnia y publicidad,divorced,10,studio,cat,19,other,turtles,no,unknow,Rusa,7,vet,animalshelter
AnimalAdoption,Diann,Alemania,Ciudad Real,Villarrobledo,92317,2696,507,653,1536,1095,81,,"Finanzas, banca y seguros",separated,18,flat,other,15,nobinary,turtles,,castrated_male,Mapa,12,foster,animalshelter
Pages,Dorothy,Guinea Ecuatorial,Cantabria,Zamora,84908,2079,231,850,998,288,29,Computista,Derecho,,3,apartment,snake,19,nobinary,,,,,0,,
Animal,Robert,Argentina,Ciudad Real,Donostia–San Sebastián,97175,3411,1391,1355,665,690,51,Paramédico,Administración y gestión de empresas,divorced,1,ground floor with garden,dog,18,,hamster,,unknow,Enano de Campbell,16,vet,animalshelter
AnimalShelter,Kenneth,Ecuador,Cuenca,Guadix,22709,2892,231,1626,1035,939,25,Técnico de sonido,Bellas artes,married,15,quadplex,bunny,17,female,dog,no,intact_female,Cane Corso,12,other,animalshelter
AnimalShelter,Brenda,Panama,Córdoba,Catalonia,21112,4790,1907,1860,1023,753,0,Archivólogo,ESO,married,4,apartment,snake,2,,snake,unknown,unknow,Culebra,20,sick,animalshelter
AnimalShelter,Susan,Ecuador,Las Palmas de Gran Canaria,Arcos de la Frontera,94245,2707,1469,434,804,680,9,Lavandero,Ingeniería mecánica y metalurgia,relationship,17,attic,other,6,,other,no,castrated_male,Duroc,4,dead,animalshelter
Pages,Ryan,Singapur,Zamora,Guadalajara,59819,2986,1377,1148,461,474,73,Biólogo,"Finanzas, banca y seguros",married,14,bungalows,,9,,,,,,0,,
Pages,Ruby,Bolivia,Barcelona,Guernica,11076,2217,1240,263,714,1933,6,Lavandero,Ciencias políticas,,17,ground floor with garden,bunny,18,male,,,,,0,,
Animal,David,Colombia,Cuenca,Basque Country,43943,3567,1431,685,1451,1797,47,Ingeniero,Administración y gestión de empresas,relationship,17,duplex,cat,15,other,other,yes,neutered_female,Pedresa,14,sick,animalshelter
PublicationAdoption,Mark,Chile,Murcia,Guadalajara,11765,2082,656,236,1190,1224,63,Botánico,"Negocios y administración, programas multidisciplinarios o generales",divorced,16,terraced house,turtles,11,nobinary,hamster,unknown,castrated_male,Roborowski,20,foster,animalshelter
AnimalShelter,Veronica,Francia,Alicante,Vigo,45081,2003,228,434,1341,1561,67,Frutero,Mercadotecnia y publicidad,single,19,flat,cat,4,male,bunny,,neutered_female,Belier,13,healthy,animalshelter
PublicationAdoption,Heidi,Mexico,Gran Canaria,Murcia,70600,2026,1258,455,313,1918,97,Paramédico,Criminología,divorced,20,detached house,dog,10,nobinary,turtles,,intact_male,Bosque,0,foster,animalshelter
Pages,Bonnie,Chile,Tarragona,San Fernando,10418,3049,1787,869,393,1792,40,Físico,Sociología y antropología,separated,6,apartment,cat,14,other,,,,,0,,
PublicationAdoption,Rachel,Singapur,Alava,Huelva,98556,3483,1168,1308,1007,1110,93,Artesano,Sociología y antropología,relationship,6,loft,snake,0,male,hamster,unknown,intact_female,Chino,14,unknown,animalshelter
AnimalShelter,Catalina,Cuba,La Rioja,Utrera,19260,2222,1719,467,36,550,69,,Tecnologías de la información y comunicación,divorced,4,terraced house,,8,male,cat,unknown,intact_female,Somali,7,unknown,animalshelter
Pages,Dorothy,Colombia,Segovia,Santa Cruz de Tenerife,11819,4120,1078,1162,1880,1679,1,Electricista,Mercadotecnia y publicidad,divorced,18,loft,bunny,4,nobinary,,,,,0,,
PublicationAdoption,Karen,Pakistan,Avila,Toro,49651,2094,671,16,1407,622,60,Contador,Tecnología y protección del medio ambiente,single,15,semi-detached house,turtles,17,female,other,yes,unknow,Duroc,6,vet,animalshelter
PublicationAdoption,Tobie,Republica Dominicana,Asturias,Mieres,14697,2333,527,545,1261,321,95,Paleontólogo,Criminología,single,0,triplex,cat,5,,turtles,no,intact_male,Bosque,0,sick,animalshelter
PublicationAdoption,Jane,Guinea Ecuatorial,Girona,Las Palmas,99120,1605,70,499,1036,697,70,Técnico de sonido,Psicología,separated,12,apartment,snake,9,other,turtles,,castrated_male,Caja de florida,2,vet,animalshelter
Animal,Wm,Chile,Córdoba,Lleida,26549,2296,97,846,1353,1414,35,Paleontólogo,Sociología y antropología,single,1,ground floor,turtles,12,nobinary,cat,unknown,intact_female,Somali,16,vet,animalshelter
Animal,Helen,Ecuador,Badajoz,Cieza,15749,3955,1542,1272,1141,1978,27,Músico,Ingeniería mecánica y metalurgia,single,6,attic,bunny,18,other,dog,no,intact_female,Bouvier des Flandres,19,unknown,animalshelter
AnimalAdoption,Jerome,Francia,Avila,Álava,75802,2301,71,828,1402,1592,79,Sociólogo,Ingeniería mecánica y metalurgia,single,12,ground floor,bunny,16,female,snake,yes,intact_male,Boa,5,unknown,animalshelter
Animal,Elizabeth,India,Albacete,La Orotava,35462,3066,971,1754,341,168,55,Profesor,"Negocios y administración, programas multidisciplinarios o generales",divorced,3,attic,,7,other,hamster,,neutered_female,Sirio,18,unknown,animalshelter
AnimalShelter,Josephine,Venezuela,Lugo,Cuenca,28103,1899,963,115,821,676,7,Músico,"Finanzas, banca y seguros",married,4,apartment,bunny,19,,snake,,unknow,Serpiente negra de vientre rojo,18,dead,animalshelter
PublicationAdoption,Cecilia,Republica de Irlanda,Ibiza,Girona,19488,2283,303,87,1893,1056,90,Profesor,Bellas artes,married,16,detached house,dog,16,,cat,yes,unknow,Somali,9,sick,animalshelter
AnimalShelter,Mary,Uruguay,Lérida,Huelva,52546,3651,997,1083,1571,1758,79,Secretaria,Administración y gestión de empresas,separated,1,ground floor,bunny,19,other,turtles,no,unknow,Bosque,10,healthy,animalshelter
AnimalShelter,Timothy,Pakistan,Fuerteventura,Carmona,68226,2290,664,1471,155,1485,11,,Ingeniería mecánica y metalurgia,married,11,duplex,other,2,,cat,,neutered_female,Ruso azul,7,adopted,animalshelter
AnimalAdoption,Judy,Republica de Irlanda,Gran Canaria,Don Benito,76027,3503,1966,848,689,1540,25,Paleontólogo,Magisterio,divorced,12,ground floor with garden,hamster,10,nobinary,cat,yes,castrated_male,Birmano,7,vet,animalshelter
Animal,Maria,Bolivia,Granada,Jerez de la Frontera,84145,3722,1443,1919,360,1832,45,Cerrajero,Negocios y comercio,separated,2,studio,snake,18,,bunny,,neutered_female,Rex,20,unknown,animalshelter
AnimalShelter,Marion,Cuba,Orense,Marchena,85634,1997,768,63,1166,1399,75,Archivólogo,Mercadotecnia y publicidad,married,20,bungalows,dog,15,other,bunny,yes,castrated_male,Toy,7,dead,animalshelter
AnimalAdoption,Jennifer,Ecuador,Pontevedra,Málaga,30735,2109,766,49,1294,1124,44,Frutero,Trabajo y atención social,separated,19,duplex,snake,11,male,other,unknown,intact_male,Duroc,4,dead,animalshelter
PublicationAdoption,Jennifer,Venezuela,Badajoz,Huelva,52369,3652,928,1353,1371,470,1,Carpintero,Tecnología y protección del medio ambiente,relationship,20,attic,cat,0,male,other,unknown,intact_male,Duroc,5,dead,animalshelter
Pages,Estella,India,Salamanca,Madrid,33704,1351,126,531,694,1598,10,Físico,Magisterio,married,8,semi-detached house,other,0,male,,,,,0,,
PublicationAdoption,Edward,Nicaragua,Menorca,Arucas,79625,3201,527,1801,873,994,59,Psicólogo,ESO,married,2,studio,bunny,7,nobinary,other,unknown,unknow,Pedresa,10,dead,animalshelter
AnimalShelter,Larry,Republica Dominicana,La Palma,La Orotava,94856,2517,1853,370,294,493,32,Matemático,Negocios y comercio,single,15,,other,19,female,bunny,yes,neutered_female,Toy,5,dead,animalshelter
AnimalShelter,Sally,Panama,Cáceres,Cieza,30427,3848,1381,1869,598,793,36,Bibliotecólogo,Contabilidad y fiscalización,separated,15,ground floor,other,15,,turtles,unknown,intact_male,Bosque,11,foster,animalshelter
AnimalShelter,Tyra,Guatemala,Ciudad Real,Morón de la Frontera,38261,2171,1010,754,407,1748,0,Filólogo,Criminología,single,0,flat,cat,5,female,bunny,,intact_female,Cabeza de leon,20,unknown,animalshelter
Animal,Phyllis,Nicaragua,Tarragona,Úbeda,75473,2939,606,562,1771,736,17,Botánico,"Negocios y administración, programas multidisciplinarios o generales",divorced,13,loft,several,17,nobinary,dog,,neutered_female,Rafeiro do Alentejo,1,healthy,animalshelter
Animal,Jesus,El Salvador,Pontevedra,Aragon,87208,3643,1007,737,1899,1119,32,Músico,Tecnología y protección del medio ambiente,separated,11,ground floor,dog,5,other,hamster,yes,castrated_male,Sirio,0,adopted,animalshelter
AnimalAdoption,Leroy,Paraguay,Teruel,Jaca,43363,3544,1448,1973,123,1939,52,Ingeniero,Derecho,relationship,2,studio,several,4,female,dog,unknown,unknow,Sarplaninac,20,dead,animalshelter
Pages,Carole,Ecuador,Guipuzcoa,Bilbao,13178,1016,252,212,552,1684,81,Archivólogo,Economía,divorced,11,bungalows,snake,20,male,,,,,0,,
PublicationAdoption,Benjamin,Malta,Albacete,Córdoba,66230,1582,1001,291,290,886,72,Mecánico,Administración y gestión de empresas,divorced,4,bungalows,other,4,male,other,yes,neutered_female,Betizu,0,unknown,animalshelter
AnimalShelter,Phillip,El Salvador,Ciudad Real,Guadix,92999,750,75,187,488,1383,80,Profesor,"Negocios y administración, programas multidisciplinarios o generales",,14,apartment,cat,8,nobinary,snake,,unknow,Serpiente del maíz,5,sick,animalshelter
PublicationAdoption,Mary,Costa Rica,Badajoz,Sabadell,58463,2184,1966,140,78,1368,58,Politólogo,Ingeniería química,married,10,studio,other,17,other,snake,no,castrated_male,Serpiente Mocasín de Agua,8,sick,animalshelter
Pages,Wilda,El Salvador,Tenerife,Cuenca,42864,2517,655,666,1196,1143,86,Arquitecto,Ingeniería Informatica,,8,triplex,snake,1,male,,,,,0,,
AnimalAdoption,Adrian,Guinea Ecuatorial,Huelva,Jumilla,36154,2294,258,571,1465,60,89,Arquitecto,Economía,relationship,13,duplex,snake,8,other,cat,no,unknow,Maine coon,4,dead,animalshelter
AnimalShelter,Lorna,Pakistan,Huesca,Segovia,67522,4500,1689,1502,1309,2,88,Físico,Mercadotecnia y publicidad,relationship,13,triplex,other,18,nobinary,bunny,no,unknow,Cabeza de leon,12,adopted,animalshelter
Animal,Betty,Republica de Irlanda,Girona,Andújar,18209,2373,1441,156,776,234,56,Profesor,Sociología y antropología,married,4,flat,hamster,0,,other,no,unknow,Duroc,4,adopted,animalshelter
Animal,Amber,Panama,Pontevedra,Las Palmas,42126,2079,750,795,534,1199,59,Electricista,Magisterio,single,8,terraced house,snake,11,other,cat,unknown,neutered_female,Ragdol,4,vet,animalshelter
AnimalShelter,Gwendolyn,Nicaragua,Cuenca,Badalona,67062,4295,1889,1040,1366,619,59,Botánico,Magisterio,relationship,18,apartment,several,16,nobinary,other,unknown,neutered_female,Duroc,16,healthy,animalshelter
AnimalAdoption,Trent,El Salvador,Córdoba,Ecija,34952,2918,1308,1216,394,49,49,Bibliotecólogo,Mercadotecnia y publicidad,separated,10,quadplex,cat,4,nobinary,dog,,castrated_male,Spitz Japonés,19,foster,animalshelter
Pages,Margaret,Republica Dominicana,Segovia,Catalonia,95329,2560,1244,873,443,1582,10,Mecánico,Ciencias políticas,,0,attic,,19,male,,,,,0,,
AnimalShelter,Nicole,Nicaragua,Madrid,Palma,49033,3461,1225,1827,409,598,42,,Bellas artes,married,20,apartment,several,6,other,turtles,,intact_male,Rusa,19,adopted,animalshelter
Animal,Shawn,Mexico,Badajoz,Carballo,47201,1567,987,529,51,107,63,Químico,Derecho,divorced,1,quadplex,several,11,other,dog,no,neutered_female,Terranova (Newfoundland),9,unknown,animalshelter
Animal,Cesar,Nicaragua,Vizcaya,Málaga,84366,3939,1275,1821,843,1893,96,Matemático,Magisterio,divorced,1,studio,snake,10,other,cat,,intact_female,Siberiano,20,dead,animalshelter
PublicationAdoption,John,Reino Unido,Córdoba,Girona,67451,3803,755,1909,1139,983,99,Matemático,"Finanzas, banca y seguros",separated,0,attic,cat,3,nobinary,turtles,unknown,unknow,Bosque,20,healthy,animalshelter
Animal,Marjorie,India,Alava,Lleida,82117,4335,1036,1848,1451,285,61,Sociólogo,Mercadotecnia y publicidad,separated,10,attic,several,11,,turtles,yes,intact_female,Rusa,5,other,animalshelter
Animal,David,Venezuela,Vizcaya,Guadalajara,36646,3084,1799,137,1148,1259,7,Computista,Bellas artes,divorced,14,duplex,cat,8,nobinary,other,no,intact_female,Pedresa,2,unknown,animalshelter
Pages,Johnny,Mexico,Orense,Arucas,16748,3167,894,1645,628,1943,45,Contador,Tecnologías de la información y comunicación,divorced,4,,cat,1,,,,,,0,,
AnimalAdoption,James,Guatemala,Málaga,Vic,68517,2839,1287,157,1395,1372,99,Médico cirujano,"Finanzas, banca y seguros",single,2,flat,,12,nobinary,bunny,,intact_female,Tan,6,unknown,animalshelter
AnimalShelter,Gene,Paraguay,Málaga,Tarragona,42046,3714,1901,1553,260,1575,98,Mecánico,Bachillerato,separated,16,loft,dog,3,male,other,,intact_male,Betizu,0,foster,animalshelter
Animal,Irvin,Chile,Albacete,Ciudad Real,98253,2492,349,334,1809,540,94,Periodista,Bellas artes,relationship,6,terraced house,,13,,bunny,unknown,unknow,Gigante de Flandes,11,vet,animalshelter
Pages,Scott,España,Burgos,Lugo,71267,1453,75,1,1377,635,34,Bibliotecólogo,Ingeniería mecánica y metalurgia,relationship,5,attic,bunny,6,female,,,,,0,,
AnimalShelter,Shawn,Malta,Las Palmas de Gran Canaria,Ciudad Rodrigo,62299,3051,641,1058,1352,254,59,Técnico de sonido,Ingeniería mecánica y metalurgia,separated,3,detached house,turtles,1,nobinary,cat,no,unknow,Persa,8,other,animalshelter
AnimalShelter,Walter,Costa Rica,Soria,Alcalá de Guadaira,19500,2233,446,345,1442,579,82,Abogado,Economía,single,1,loft,turtles,13,nobinary,cat,no,neutered_female,Siberiano,4,vet,animalshelter
Animal,Janessa,Nicaragua,Guipuzcoa,Palencia,72538,2377,1807,421,149,1258,1,Arquitecto,Ciencias políticas,married,0,studio,cat,13,other,dog,unknown,unknow,Mastiff,9,sick,animalshelter
AnimalAdoption,Helen,Paraguay,Alava,Plasencia,13448,2509,214,1322,973,610,93,Bibliotecólogo,Bellas artes,divorced,2,,several,9,male,snake,yes,unknow,Serpiente del maíz,10,foster,animalshelter
Animal,Catherine,Guatemala,Fuerteventura,Mataró,94356,3603,1159,742,1702,1291,85,Secretaria,Bachillerato,divorced,12,loft,other,5,nobinary,turtles,unknown,neutered_female,Orejas rojas,15,other,animalshelter
AnimalShelter,Dave,Chile,A Coruña,Lorca,93756,2555,380,1929,246,740,74,Geógrafo,Mercadotecnia y publicidad,relationship,13,bungalows,bunny,0,other,dog,unknown,unknow,Viejo Pastor Inglés,13,vet,animalshelter
AnimalShelter,Anne,Malta,Toledo,A Coruña,59693,2979,1713,1164,102,706,30,Arquitecto,Mercadotecnia y publicidad,separated,13,duplex,other,6,other,other,,intact_female,Betizu,13,adopted,animalshelter
Pages,Helene,Colombia,Las Palmas de Gran Canaria,Teruel,83129,2912,927,404,1581,1049,5,Físico,Negocios y comercio,married,4,duplex,cat,1,nobinary,,,,,0,,
Animal,Gwendolyn,Paraguay,Cáceres,Granollers,26518,4768,1499,1382,1887,709,8,Médico cirujano,Magisterio,separated,5,loft,other,2,male,dog,unknown,intact_male,Boyero de Appenzell,8,foster,animalshelter
AnimalShelter,Johnny,Singapur,Alicante,Jaén,23756,2103,84,1951,68,1601,32,,Tecnología y protección del medio ambiente,relationship,9,studio,dog,7,,snake,no,intact_female,Serpiente de Rata Negra,20,dead,animalshelter
AnimalShelter,Marquita,Panama,Orense,Arcos de la Frontera,34225,2235,62,972,1201,698,1,Secretaria,"Negocios y administración, programas multidisciplinarios o generales",married,11,loft,,1,,bunny,yes,unknow,Cabeza de leon,19,healthy,animalshelter
PublicationAdoption,James,Peru,Ciudad Real,Algeciras,13583,3088,1695,654,739,445,1,Sociólogo,Contabilidad y fiscalización,single,3,,hamster,10,nobinary,other,,intact_female,Duroc,18,other,animalshelter
AnimalShelter,Mark,Pakistan,Córdoba,Tortosa,90363,3166,533,1216,1417,98,83,Frutero,Negocios y comercio,,9,detached house,cat,6,female,dog,unknown,neutered_female,Braco de Bourbonnais,15,other,animalshelter
AnimalShelter,Angela,Bolivia,Gran Canaria,Granada,30064,2778,1042,1719,17,965,93,Bibliotecólogo,Derecho,single,14,triplex,turtles,9,other,hamster,no,castrated_male,Ruso enano,4,foster,animalshelter
Animal,Ralph,Chile,Soria,Montilla,27277,3479,1464,1765,250,372,31,Psicólogo,Negocios y comercio,,2,bungalows,bunny,4,,dog,unknown,intact_male,Viejo Pointer Danés (Old Danish Pointer),8,vet,animalshelter
PublicationAdoption,Lisa,Costa Rica,La Palma,Lora del Río,54300,3068,914,212,1942,1918,28,Bibliotecólogo,Economía,separated,11,attic,cat,15,,bunny,,castrated_male,Blanco de Hotot,15,dead,animalshelter
PublicationAdoption,Myrtie,Mexico,Fuerteventura,Vic,12090,2040,783,796,461,32,19,Periodista,Negocios y comercio,single,13,duplex,,8,other,dog,,neutered_female,Irish Wolfhound,1,unknown,animalshelter
PublicationAdoption,Clayton,Panama,La Palma,Pontevedra,80434,2601,688,824,1089,381,33,Cocinero,Mercadotecnia y publicidad,,0,ground floor,several,15,nobinary,snake,unknown,castrated_male,Serpiente Mocasín de Agua,4,sick,animalshelter
AnimalShelter,Jackie,Mexico,Ceuta,Ecija,65340,3225,1751,1360,114,1242,11,Electricista,Administración y gestión de empresas,married,10,bungalows,dog,16,female,other,no,castrated_male,Pedresa,14,unknown,animalshelter
Pages,Michael,Mexico,Valencia,Ronda,18687,3735,198,1842,1695,776,41,Sociólogo,Criminología,single,16,semi-detached house,turtles,14,nobinary,,,,,0,,
AnimalAdoption,Nicole,Pakistan,La Gomera,A Coruña,34743,3276,1745,669,862,1878,32,Politólogo,Contabilidad y fiscalización,divorced,2,apartment,other,10,,hamster,no,unknow,Chino,10,sick,animalshelter
PublicationAdoption,Ruby,Francia,Lugo,Baza,38216,3597,1345,1724,528,721,28,Computista,"Finanzas, banca y seguros",divorced,8,detached house,other,12,other,turtles,unknown,intact_male,Orejas amarillas,20,vet,animalshelter
AnimalShelter,Allan,Bolivia,Ceuta,Ceuta (autonomous city),35023,1493,423,749,321,1365,56,Lechero,"Negocios y administración, programas multidisciplinarios o generales",divorced,20,apartment,bunny,1,male,bunny,unknown,intact_male,English angora,7,foster,animalshelter
Pages,Hunter,Cuba,Palencia,Guadix,11705,2822,97,1154,1571,680,35,Arquitecto,Ciencias políticas,,16,semi-detached house,bunny,5,nobinary,,,,,0,,
AnimalAdoption,Roger,Guinea Ecuatorial,Murcia,Extremadura,19255,2755,575,816,1364,1604,11,Electricista,ESO,single,20,detached house,other,3,female,cat,unknown,intact_female,Maine coon,6,sick,animalshelter
AnimalAdoption,Stephanie,Venezuela,La Rioja,Villaviciosa,90412,1987,631,1224,132,833,23,Electricista,Sociología y antropología,separated,10,terraced house,dog,13,male,snake,yes,intact_male,Pitón,8,other,animalshelter
Animal,Robert,Chile,Sevilla,Santiago de Compostela,59550,2776,965,483,1328,1756,100,Lechero,Ingeniería Informatica,divorced,13,attic,turtles,0,,hamster,unknown,castrated_male,Sirio,18,adopted,animalshelter
AnimalShelter,Andrew,Ecuador,A Coruña,Puertollano,99148,1681,258,226,1197,609,81,Secretaria,Contabilidad y fiscalización,single,18,apartment,turtles,13,,snake,unknown,castrated_male,Serpiente del maíz,9,dead,animalshelter
Pages,Helen,Chile,Menorca,Lugo,78310,3104,1595,44,1465,274,64,,ESO,divorced,19,duplex,several,12,nobinary,,,,,0,,
AnimalShelter,Teresa,Reino Unido,Huelva,San Fernando,60059,2267,684,1469,114,334,85,Cocinero,Magisterio,,9,apartment,cat,4,nobinary,turtles,no,neutered_female,Cumberland,0,healthy,animalshelter
Animal,Dorothy,Republica Dominicana,Vizcaya,Monforte de Lemos,35388,2582,1357,1090,135,1848,55,Ingeniero,Tecnologías de la información y comunicación,single,2,apartment,,8,male,dog,,castrated_male,Fila Brasileiro,18,dead,animalshelter
Animal,Annie,Alemania,Segovia,Lebrija,53841,1941,951,69,921,929,23,Biólogo,Sociología y antropología,,1,quadplex,,11,male,cat,yes,neutered_female,Maine coon,5,unknown,animalshelter
Pages,Beverly,Republica de Irlanda,Zaragoza,Villanueva de la Serena,33931,1411,360,338,713,1486,91,Profesor,Ingeniería química,,6,detached house,turtles,2,,,,,,0,,
AnimalShelter,John,Alemania,Barcelona,Pola de Siero,12385,2774,626,490,1658,432,47,Biólogo,Ingeniería mecánica y metalurgia,separated,20,terraced house,several,14,nobinary,cat,,intact_female,Persa,14,sick,animalshelter
Animal,Arturo,Mexico,Albacete,Gijón,50782,1367,1063,226,78,801,88,Electricista,"Negocios y administración, programas multidisciplinarios o generales",,4,ground floor with garden,other,9,,turtles,unknown,intact_male,Caja de florida,5,sick,animalshelter
Animal,Jean,Pakistan,Ibiza,Cádiz,11574,3938,1441,1182,1315,1248,76,Geógrafo,Bellas artes,divorced,6,loft,turtles,18,female,other,yes,unknow,Pedresa,11,adopted,animalshelter
AnimalShelter,Myrna,Argentina,Segovia,Melilla,59484,4289,1610,1289,1390,67,68,Físico,Tecnología y protección del medio ambiente,single,8,bungalows,bunny,18,female,bunny,unknown,unknow,Rex,13,dead,animalshelter
Pages,Shari,Pakistan,Málaga,Ceuta (autonomous city),91940,1735,1071,177,487,774,53,Geógrafo,Tecnologías de la información y comunicación,,9,bungalows,several,9,male,,,,,0,,
AnimalShelter,Alice,Guinea Ecuatorial,Tenerife,Salamanca,38215,4338,1454,934,1950,484,19,Archivólogo,Ingeniería Informatica,separated,8,apartment,several,6,male,other,unknown,intact_male,Duroc,11,other,animalshelter
Animal,Karen,India,Vizcaya,Salamanca,61730,1612,298,656,658,117,11,Físico,Magisterio,separated,7,duplex,bunny,1,nobinary,turtles,no,castrated_male,Orejas rojas,10,vet,animalshelter
AnimalAdoption,Sarah,Guinea Ecuatorial,Ibiza,San Martín del Rey Aurelio,72394,3641,1737,1602,302,688,19,Físico,Bachillerato,divorced,3,flat,bunny,12,,other,,castrated_male,Duroc,2,dead,animalshelter
Animal,Julia,Costa Rica,Jaén,Vizcaya,62062,3431,1582,626,1223,459,51,Lavandero,Bellas artes,divorced,2,apartment,dog,13,female,turtles,,intact_male,Pintada,17,sick,animalshelter
PublicationAdoption,John,Uruguay,Córdoba,Teruel,62010,1566,826,211,529,1137,4,Sociólogo,Administración y gestión de empresas,,6,loft,turtles,7,female,hamster,,intact_male,Chino,14,healthy,animalshelter
AnimalAdoption,John,Honduras,Ceuta,Segovia,32637,1782,1379,306,97,1677,72,Paramédico,Trabajo y atención social,married,1,ground floor,snake,19,,turtles,unknown,castrated_male,Bosque,3,unknown,animalshelter
AnimalShelter,John,Republica Dominicana,Sevilla,Las Palmas,87893,2023,1163,600,260,519,74,Profesor,Magisterio,,9,detached house,dog,13,male,hamster,,neutered_female,Chino,14,adopted,animalshelter
AnimalAdoption,Jay,España,Lérida,Villaviciosa,59537,1363,582,377,404,1078,85,Secretaria,Economía,married,20,studio,several,19,female,other,yes,intact_female,Alvera,6,sick,animalshelter
PublicationAdoption,Lettie,Mexico,Murcia,Algeciras,78387,4232,1404,1565,1263,1933,85,Contador,Administración y gestión de empresas,separated,15,duplex,bunny,8,male,cat,yes,castrated_male,Ruso azul,2,other,animalshelter
AnimalShelter,Ronald,Paraguay,Valencia,Caravaca,60551,4583,1592,1058,1933,1437,89,Biólogo,Sociología y antropología,divorced,16,studio,snake,15,male,snake,,intact_female,Serpiente de Rata Negra,11,unknown,animalshelter
AnimalAdoption,Robert,Guinea Ecuatorial,Badajoz,Guadalupe,61288,3472,920,1954,598,277,35,Lechero,Negocios y comercio,single,14,quadplex,turtles,9,,snake,no,intact_female,Serpiente marrón oriental,13,healthy,animalshelter
PublicationAdoption,Cedric,Paraguay,Valencia,La Línea,27999,5245,1981,1376,1888,914,43,Químico,Ingeniería química,,12,semi-detached house,snake,3,,cat,unknown,neutered_female,Maine coon,2,foster,animalshelter
Animal,Jessica,España,Córdoba,Zamora,49756,3349,1329,220,1800,904,89,Lechero,Trabajo y atención social,divorced,13,flat,several,3,male,cat,unknown,intact_male,Somali,20,foster,animalshelter
PublicationAdoption,Henrietta,Cuba,Madrid,Villanueva de la Serena,74876,3003,819,1732,452,1426,65,Paramédico,Trabajo y atención social,single,14,loft,turtles,8,nobinary,turtles,unknown,castrated_male,Bosque,12,other,animalshelter
AnimalAdoption,Katherine,Malta,Navarra,Lugo,56184,2638,777,1347,514,1736,26,Bibliotecólogo,Ingeniería química,married,8,studio,,2,male,cat,yes,castrated_male,Siberiano,3,other,animalshelter
Animal,Jerry,Costa Rica,León,Guadalupe,50483,1975,405,467,1103,76,86,Filólogo,Derecho,relationship,10,apartment,snake,14,other,cat,,unknow,Birmano,14,healthy,animalshelter
Animal,Jeanette,El Salvador,Fuerteventura,Vizcaya,93427,3757,1923,485,1349,245,38,,Ingeniería mecánica y metalurgia,single,1,quadplex,bunny,16,male,other,no,intact_male,Duroc,10,sick,animalshelter
Animal,Brian,Mexico,Tarragona,Almadén,88501,3961,533,1489,1939,539,83,Arquitecto,Tecnologías de la información y comunicación,single,14,flat,other,18,other,turtles,yes,neutered_female,Orejas amarillas,1,healthy,animalshelter
PublicationAdoption,Tracy,Nicaragua,Las Palmas de Gran Canaria,Segovia,84569,4431,1318,1438,1675,816,19,Politólogo,Ingeniería mecánica y metalurgia,relationship,4,ground floor,snake,5,other,dog,,unknow,Spaniel Alemán (German Wachtelhund),10,unknown,animalshelter
AnimalAdoption,Ty,Colombia,Valladolid,Córdoba,37842,2284,541,697,1046,1510,82,Artesano,Ingeniería Informatica,divorced,14,terraced house,dog,2,female,hamster,no,intact_female,Sirio,3,unknown,animalshelter
